Customer ID,recency,frequency,monetary,segment
12346,445,14,356.37,cant_loose
12347,16,8,4538.9,champions
12348,263,4,312.36,at_risk
12349,33,4,2610.84,potential_loyalists
12350,324,1,294.40000000000003,hibernating
12351,389,1,288.18,hibernating
12352,50,10,1341.6600000000003,loyal_customers
12353,218,2,347.05999999999995,hibernating
12354,246,1,682.69,hibernating
12355,228,2,656.1100000000001,hibernating
12356,260,5,1941.3799999999999,at_risk
12357,47,2,6422.49,potential_loyalists
12358,16,5,1954.7799999999997,champions
12359,22,14,4880.139999999999,champions
12360,66,6,3061.95,loyal_customers
12361,301,4,451.25,at_risk
12362,17,13,4061.29,champions
12363,124,2,484.5,about_to_sleep
12364,22,3,1106.28,potential_loyalists
12365,305,1,307.94,hibernating
12367,18,1,138.29999999999998,new_customers
12368,642,1,371.5,hibernating
12369,427,3,1280.13,at_risk
12370,65,7,3077.33,loyal_customers
12371,74,4,3048.9300000000003,need_attention
12372,86,3,938.34,need_attention
12373,325,3,833.1500000000001,at_risk
12374,39,3,1900.78,potential_loyalists
12375,17,3,281.22,potential_loyalists
12376,432,1,112.55000000000001,hibernating
12377,329,4,2893.84,at_risk
12378,144,2,4473.209999999999,about_to_sleep
12379,96,5,1407.5699999999997,loyal_customers
12380,36,10,5193.42,loyal_customers
12381,19,6,1189.6100000000001,champions
12383,199,6,1200.59,loyal_customers
12384,43,3,277.15999999999997,potential_loyalists
12385,393,1,1359.1,hibernating
12386,381,1,431.40000000000003,hibernating
12387,429,1,110.03999999999999,hibernating
12388,30,8,3556.55,champions
12389,417,3,1209.4299999999998,at_risk
12390,94,1,407.74000000000007,about_to_sleep
12391,36,6,1913.64,loyal_customers
12392,605,1,196.95000000000002,hibernating
12393,86,7,1854.9999999999998,loyal_customers
12394,231,1,331.18,hibernating
12395,30,18,3279.76,champions
12396,688,1,883.5800000000002,hibernating
12397,50,2,1720.01,potential_loyalists
12398,60,1,1349.44,promising
12399,133,7,1293.8400000000001,loyal_customers
12400,428,1,205.25,hibernating
12401,317,1,32.85,hibernating
12402,337,6,1124.1500000000003,at_risk
12403,64,2,160.4,potential_loyalists
12405,163,1,1104.8700000000001,about_to_sleep
12406,36,5,4640.2,loyal_customers
12407,64,5,1085.0099999999995,loyal_customers
12408,47,13,2694.38,loyal_customers
12409,93,9,4232.77,loyal_customers
12410,315,3,493.85999999999996,at_risk
12411,424,1,255.4,hibernating
12412,89,8,2087.93,loyal_customers
12413,81,4,652.15,need_attention
12414,231,4,418.53000000000003,at_risk
12415,39,16,6118.110000000001,loyal_customers
12416,671,1,202.56,hibernating
12417,17,23,3906.89,champions
12418,127,5,1651.16,loyal_customers
12419,400,2,274.31000000000006,hibernating
12420,78,1,380.29999999999995,about_to_sleep
12421,30,8,804.5100000000001,champions
12422,110,12,2394.65,loyal_customers
12423,15,11,2169.09,champions
12424,177,6,1676.2999999999997,loyal_customers
12425,92,3,1401.1299999999999,need_attention
12426,209,3,1086.8600000000001,at_risk
12427,36,4,538.27,potential_loyalists
12428,40,11,4820.45,loyal_customers
12429,23,8,3920.9300000000003,champions
12430,57,1,168.6,promising
12431,50,28,7166.22,loyal_customers
12432,57,4,1909.6799999999998,potential_loyalists
12433,15,10,12758.300000000001,champions
12434,99,5,833.4799999999999,loyal_customers
12435,282,4,1556.3799999999999,at_risk
12436,114,1,429.01,about_to_sleep
12437,16,42,8293.25,champions
12438,28,2,1753.12,potential_loyalists
12439,697,3,1009.88,at_risk
12440,471,3,544.75,at_risk
12441,381,1,311.1,hibernating
12442,17,1,144.06,new_customers
12443,746,1,192.63,hibernating
12444,35,5,2277.5599999999995,loyal_customers
12445,36,3,370.48,potential_loyalists
12446,72,1,734.36,about_to_sleep
12447,257,1,379.78999999999996,hibernating
12448,58,1,283.95000000000005,promising
12449,36,4,2733.84,potential_loyalists
12450,170,7,558.45,loyal_customers
12451,25,9,8621.7,champions
12452,31,2,285.67,potential_loyalists
12453,148,1,707.0899999999999,about_to_sleep
12454,70,1,66.4,promising
12455,87,9,3169.95,loyal_customers
12456,58,4,1636.09,potential_loyalists
12457,72,5,1191.73,loyal_customers
12458,85,4,1281.72,need_attention
12459,619,1,343.34999999999997,hibernating
12460,470,1,236.95,hibernating
12461,169,1,419.08,about_to_sleep
12462,16,4,612.12,potential_loyalists
12463,60,7,1124.18,loyal_customers
12464,164,4,76.5,need_attention
12465,22,3,613.1899999999999,potential_loyalists
12467,400,2,31.500000000000014,hibernating
12468,157,9,2293.3100000000004,loyal_customers
12469,537,1,1005.4,hibernating
12470,704,1,183.25,hibernating
12471,16,105,19939.15,champions
12472,45,37,13601.14,loyal_customers
12473,68,4,2209.99,potential_loyalists
12474,31,49,9887.82,champions
12475,68,2,921.3000000000001,potential_loyalists
12476,15,29,8770.150000000001,champions
12477,37,12,11936.98,loyal_customers
12478,18,1,479.59000000000003,new_customers
12479,18,3,396.45000000000005,potential_loyalists
12480,42,8,3629.06,loyal_customers
12481,37,14,6727.950000000001,loyal_customers
12482,615,12,821.4,cant_loose
12483,31,20,2844.5900000000006,champions
12484,49,12,4539.59,loyal_customers
12485,543,1,612.3,hibernating
12486,446,1,765.0,hibernating
12488,24,3,952.1600000000001,potential_loyalists
12489,350,1,191.43000000000004,hibernating
12490,19,21,7625.740000000001,champions
12491,53,1,350.75000000000006,promising
12492,77,3,543.3600000000001,need_attention
12493,180,2,332.90999999999997,about_to_sleep
12494,30,14,1359.1499999999999,champions
12495,655,1,243.39999999999998,hibernating
12496,634,2,54.09,hibernating
12497,96,1,20.4,about_to_sleep
12498,35,3,349.7,potential_loyalists
12499,574,1,297.16,hibernating
12500,50,19,1513.33,loyal_customers
12501,329,2,1816.9499999999998,hibernating
12502,110,5,1496.32,loyal_customers
12504,44,3,189.0,potential_loyalists
12505,315,3,556.5000000000001,at_risk
12506,247,1,57.60000000000001,hibernating
12507,148,5,704.25,loyal_customers
12508,40,2,398.27,potential_loyalists
12509,298,1,124.5,hibernating
12510,157,8,2409.63,loyal_customers
12511,429,2,2488.41,hibernating
12512,80,2,130.07999999999998,about_to_sleep
12513,99,2,494.53999999999996,about_to_sleep
12514,281,2,1257.88,hibernating
12515,367,1,190.8,hibernating
12516,92,4,970.08,need_attention
12517,42,5,2160.1400000000003,loyal_customers
12518,15,5,1750.09,champions
12519,78,3,541.37,need_attention
12520,93,6,2046.2600000000002,loyal_customers
12521,157,1,499.03,about_to_sleep
12522,53,2,152.72000000000003,potential_loyalists
12523,16,27,3202.8500000000004,champions
12524,23,13,2691.91,champions
12525,505,6,763.0799999999999,at_risk
12526,15,3,1074.46,potential_loyalists
12527,96,4,461.51000000000005,need_attention
12528,23,8,1110.43,champions
12529,537,2,275.97999999999996,hibernating
12530,74,10,2227.5400000000004,loyal_customers
12531,29,3,1614.15,potential_loyalists
12532,44,1,297.33,promising
12533,633,6,977.34,at_risk
12534,145,1,828.73,about_to_sleep
12535,106,2,577.8499999999999,about_to_sleep
12536,22,2,3562.7999999999997,potential_loyalists
12537,423,1,602.99,hibernating
12538,43,2,409.05000000000007,potential_loyalists
12539,36,7,8070.1,loyal_customers
12540,34,31,13371.79,loyal_customers
12541,44,3,721.3800000000001,potential_loyalists
12542,498,3,348.46,at_risk
12543,462,1,656.8000000000002,hibernating
12544,44,2,267.90000000000003,potential_loyalists
12545,89,2,698.8000000000001,about_to_sleep
12546,61,2,969.58,potential_loyalists
12547,212,3,299.5799999999999,at_risk
12548,180,1,67.19999999999999,about_to_sleep
12549,590,5,944.72,at_risk
12550,93,1,748.8799999999998,about_to_sleep
12551,372,1,168.0,hibernating
12552,54,1,165.47,promising
12553,22,15,3485.34,champions
12554,463,1,347.59999999999997,hibernating
12556,64,2,517.81,potential_loyalists
12558,16,2,133.32,potential_loyalists
12559,334,1,301.40999999999997,hibernating
12560,19,3,1723.6200000000001,potential_loyalists
12561,317,1,207.04999999999998,hibernating
12562,22,9,3302.64,champions
12563,423,1,221.24,hibernating
12564,275,1,336.15,hibernating
12565,296,2,131.17000000000002,hibernating
12566,87,2,217.18,about_to_sleep
12567,37,17,9324.04,loyal_customers
12568,659,1,30.7,hibernating
12569,16,29,2680.9900000000002,champions
12571,54,2,489.37,potential_loyalists
12572,23,3,647.92,potential_loyalists
12573,241,5,623.5500000000001,at_risk
12574,330,1,162.54999999999998,hibernating
12575,471,2,508.47,hibernating
12576,50,11,1898.23,loyal_customers
12577,49,8,1460.8600000000001,loyal_customers
12578,35,7,3384.7,loyal_customers
12579,87,2,317.42,about_to_sleep
12580,261,2,956.6,hibernating
12581,54,1,169.76,promising
12582,253,4,1308.2900000000002,at_risk
12583,17,28,10581.18,champions
12584,18,16,939.3500000000001,champions
12585,248,4,1188.6100000000001,at_risk
12586,31,4,1455.52,potential_loyalists
12587,22,1,104.0,new_customers
12588,53,4,459.92999999999995,potential_loyalists
12589,43,8,2353.9700000000003,loyal_customers
12590,204,4,866.48,at_risk
12591,331,3,955.85,at_risk
12592,106,4,861.44,need_attention
12593,123,3,382.0999999999999,need_attention
12594,61,14,4074.3200000000006,loyal_customers
12595,519,1,197.4,hibernating
12596,65,2,288.27000000000004,potential_loyalists
